onset	duration	block	trial	cond	nBack	delay	categ	type	nprobes	pm_hit	pm_miss	npm_fa	nld_tot	nld_hit	nld_mis	ld_acc	m_ldrt	b_ldacc	b_pmacc
20	36	6	1	WM	1	0	scene	real	12	1	0	0	10	9	1	0.9	0.971	0.9	1
56	50	6	2	WM	1	0	scene	real	19	1	0	0	17	10	7	0.588	1.088	0.704	1
106	34	6	3	WM	1	0	face	real	11	0	1	0	9	4	5	0.444	1.025	0.639	0.667
140	40	6	4	WM	1	0	lexdec	real	14	0	0	0	12	12	0	1	1.014	0.729	0.667
180	16	6	5	WM	1	0	scene	catch	2	1	0	0	0	0	0	NaN	0	0.729	0.75
196	32	6	6	WM	1	0	lexdec	real	10	0	0	0	8	5	3	0.625	1.093	0.714	0.75
228	44	6	7	WM	1	0	scene	real	16	1	0	0	14	12	2	0.857	1.066	0.743	0.8
272	26	6	8	WM	1	0	face	catch	7	1	0	0	5	3	2	0.6	0.995	0.733	0.833
298	38	6	9	WM	1	0	face	real	13	1	0	1	11	7	4	0.636	1.104	0.721	0.857
336	48	6	10	WM	1	0	lexdec	real	18	0	0	0	16	16	0	1	1.097	0.765	0.857
384	52	6	11	WM	1	0	lexdec	real	20	0	0	0	18	16	2	0.889	0.949	0.783	0.857
436	54	6	12	WM	1	0	face	real	21	1	0	0	19	15	4	0.789	1.195	0.784	0.875
490	42	6	13	WM	1	0	scene	real	15	1	0	0	13	10	3	0.769	0.955	0.783	0.889
532	24	6	14	WM	1	0	lexdec	catch	6	0	0	0	4	4	0	1	0.862	0.788	0.889
556	46	6	15	WM	1	0	face	real	17	1	0	0	15	11	4	0.733	1.005	0.784	0.9
